other_number,v1,v2,v3
57225,Work,"Mining, Oil Wells, Quarrying",Safety Operations
5721,Work,"Mining, Oil Wells, Quarrying","Small Private Mines: Gopher Hole Mines"
57541,Work,"Mining, Oil Wells, Quarrying",Sulphur
57258,Work,"Mining, Oil Wells, Quarrying",Tipples
57305,Work,"Mining, Oil Wells, Quarrying",Transporting Ore to Mill
57543,Work,"Mining, Oil Wells, Quarrying",Tungsten
6275,Work,Processing and Manufacturing,Aircraft Engines
627,Work,Processing and Manufacturing,Aircraft Industry
6083,Work,Processing and Manufacturing,"Alcoholic Beverages, Wine"
6211,Work,Processing and Manufacturing,Aluminium
616882,Work,Processing and Manufacturing,Ampoule Preparations
6273,Work,Processing and Manufacturing,Assembling
6254,Work,Processing and Manufacturing,Auto Industry
62733,Work,Processing and Manufacturing,B-17 Bomber
6068,Work,Processing and Manufacturing,Baking
62223,Work,Processing and Manufacturing,"Ball Bearings,"
61175,Work,Processing and Manufacturing,"Bedding, Mattresses"
616886,Work,Processing and Manufacturing,Blood Plasma
60945,Work,Processing and Manufacturing,Boot Making
6044,Work,Processing and Manufacturing,Butter
6053,Work,Processing and Manufacturing,Canning
616883,Work,Processing and Manufacturing,Capsule Preparations
61783,Work,Processing and Manufacturing,Carbon Black
6045,Work,Processing and Manufacturing,Cheese
615,Work,Processing and Manufacturing,Chemical Industry
6214,Work,Processing and Manufacturing,Chromium
6174,Work,Processing and Manufacturing,Chromium
62868,Work,Processing and Manufacturing,Cigars
60515,Work,Processing and Manufacturing,CitrusFruit
6114,Work,Processing and Manufacturing,Clothing Industry
6179,Work,Processing and Manufacturing,Coke
6215,Work,Processing and Manufacturing,Copper
6107,Work,Processing and Manufacturing,"Cotton, Ginning and Processing"
60763,Work,Processing and Manufacturing,Cottonseed Oil
62606,Work,Processing and Manufacturing,Cranes
61255,Work,Processing and Manufacturing,"Creosoting, Treating"
626626,Work,Processing and Manufacturing,"Cutting, Welding, Riveting, Chipping"
62607,Work,Processing and Manufacturing,"Cutting, Welding, Riveting, Chipping"
604,Work,Processing and Manufacturing,Dairy Products
6015,Work,Processing and Manufacturing,Dehydration
60585,Work,Processing and Manufacturing,Drying Fruit
62662,Work,Processing and Manufacturing,Early Stages
62602,Work,Processing and Manufacturing,Early Stages
6227,Work,Processing and Manufacturing,Electric Machinery
6274,Work,Processing and Manufacturing,Electrical Work
6224,Work,Processing and Manufacturing,Engineering Equipment
6085,Work,Processing and Manufacturing,Feed
603,Work,Processing and Manufacturing,Fish
611747,Work,Processing and Manufacturing,Flags
6063,Work,Processing and Manufacturing,"Flour Mills, Bread"
6011,Work,Processing and Manufacturing,Food Products
6013,Work,Processing and Manufacturing,Frozen Foods
6051,Work,Processing and Manufacturing,Fruit and Vegetable Packing
6091,Work,Processing and Manufacturing,Fur Goods
62014,Work,Processing and Manufacturing,Furnaces
6244,Work,Processing and Manufacturing,Gas Masks
62602,Work,Processing and Manufacturing,General Views
6196,Work,Processing and Manufacturing,Glass
6062,Work,Processing and Manufacturing,Grist Mill
61854,Work,Processing and Manufacturing,Guayule
62663,Work,Processing and Manufacturing,Half Completed Ships
61165,Work,Processing and Manufacturing,"Hats, Millinery"
60828,Work,Processing and Manufacturing,Hop Kiln
6236,Work,Processing and Manufacturing,Household Equipment
61746,Work,Processing and Manufacturing,Inter-Regional Pipelines
62665,Work,Processing and Manufacturing,Launching
6093,Work,Processing and Manufacturing,Leather
6258,Work,Processing and Manufacturing,"Locomotives, Rolling Stock"
622,Work,Processing and Manufacturing,"Machinery, Hardware, Devices"
621655,Work,Processing and Manufacturing,Magnesium
62165,Work,Processing and Manufacturing,Manganese
6,Work,Processing and Manufacturing,Manufacturing and Processing Industry
602,Work,Processing and Manufacturing,Meat
62167,Work,Processing and Manufacturing,Mercury
6162,Work,Processing and Manufacturing,Munitions
62664,Work,Processing and Manufacturing,Nearly Completed Ships
61167,Work,Processing and Manufacturing,Needlework
62673,Work,Processing and Manufacturing,Outfitting
60766,Work,Processing and Manufacturing,Olive Oil
6293,Work,Processing and Manufacturing,"Packaging, Bottling"
613,Work,Processing and Manufacturing,Papermills and Paper Products
61177,Work,Processing and Manufacturing,Parachutes
61688,Work,Processing and Manufacturing,"Patent Medicines, Medical Supplies"
60597,Work,Processing and Manufacturing,Peanuts
60505,Work,Processing and Manufacturing,Peas
608476,Work,Processing and Manufacturing,Pecan Shelling
617,Work,Processing and Manufacturing,"Petroleum Refining, Coal"
61485,Work,Processing and Manufacturing,Photo Duplication
6147,Work,Processing and Manufacturing,Photo Engraving
61484,Work,Processing and Manufacturing,Photo Murals
6148,Work,Processing and Manufacturing,Photography
626624,Work,Processing and Manufacturing,Pipe
61456,Work,Processing and Manufacturing,Postage Stamps
6059,Work,Processing and Manufacturing,"Potatoes, Root Vegetables"
6027,Work,Processing and Manufacturing,"Poultry, Turkeys"
626615,Work,Processing and Manufacturing,Prefabrication
62602,Work,Processing and Manufacturing,Prefabrication
614,Work,Processing and Manufacturing,Printing
6277,Work,Processing and Manufacturing,Propeller
6061,Work,Processing and Manufacturing,Rice Mill
6095,Work,Processing and Manufacturing,SaddleMaking
60325,Work,Processing and Manufacturing,Salmon
62055,Work,Processing and Manufacturing,Sheet Steel
61218,Work,Processing and Manufacturing,Shingles
626,Work,Processing and Manufacturing,Ship Building
6267,Work,Processing and Manufacturing,Small Boats
60748,Work,Processing and Manufacturing,Sorghum
6069,Work,Processing and Manufacturing,"Spaghetti, Noodles"
62,Work,Processing and Manufacturing,Steel
6206,Work,Processing and Manufacturing,Steel casting
62013,Work,Processing and Manufacturing,Steelmills
62607,Work,Processing and Manufacturing,Stockpiles
619,Work,Processing and Manufacturing,"Stone, Cement, Clay, Glass"
6174,Work,Processing and Manufacturing,Storage Tanks
6073,Work,Processing and Manufacturing,Sugar Refining
6074,Work,Processing and Manufacturing,"Sugar, Sugar Beet"
62745,Work,Processing and Manufacturing,Testing and Checking
61,Work,Processing and Manufacturing,Textile Industry
62188,Work,Processing and Manufacturing,Tin
6207,Work,Processing and Manufacturing,Tinplate
61874,Work,Processing and Manufacturing,Tire Retreading
625,Work,Processing and Manufacturing,Transportation and Equipment
61744,Work,Processing and Manufacturing,"Transporting, Tank Cars and Trucks"
60326,Work,Processing and Manufacturing,Tuna
62189,Work,Processing and Manufacturing,Tungsten
61246,Work,Processing and Manufacturing,Turpentine and Rosin
6251,Work,Processing and Manufacturing,Wagons and Carriages
6242,Work,Processing and Manufacturing,War Materials
6255,Work,Processing and Manufacturing,War Transport Vehicles
62153,Work,Processing and Manufacturing,Wire and Cables
612,Work,Processing and Manufacturing,"Wood Products, Millwork, Furniture"
61124,Work,Processing and Manufacturing,Wool and Mohair Plant
585,Work,Research and Administration,"Business: Banks, Office Stockrooms"
5855,Work,Research and Administration,Executives
5865,Work,Research and Administration,Government Office Workers
58505,Work,Research and Administration,Management
586,Work,Research and Administration,Office Workers
58507,Work,Research and Administration,Small Business Management
58,Work,Research and Administration,Technical Research
631,Work,Selling and Distribution,"Advertising, Stores"
6427,Work,Selling and Distribution,"Antiques, Curios"
644,Work,Selling and Distribution,Auctions
64,Work,Selling and Distribution,Automobile Salesrooms
6377,Work,Selling and Distribution,Bakeries
6423,Work,Selling and Distribution,Bookstores
630723,Work,Selling and Distribution,"Burpee & Co. Seed Dealers, Philadelphia"
638,Work,Selling and Distribution,"Clothing, Shoes"
63059,Work,Selling and Distribution,Coal Yards
6303,Work,Selling and Distribution,Cold Storage
6356,Work,Selling and Distribution,Company and Plantation Stores
636,Work,Selling and Distribution,Cooperative Stores
63073,Work,Selling and Distribution,Cotton Dealers
632,Work,Selling and Distribution,Department Stores
6452,Work,Selling and Distribution,Door to Door Selling
634,Work,Selling and Distribution,Drug Stores
63051,Work,Selling and Distribution,Ever Normal Granaries
6456,Work,Selling and Distribution,Exchange
6446,Work,Selling and Distribution,Farmers Markets
63052,Work,Selling and Distribution,Feed
63936,Work,Selling and Distribution,Feed Stores
6325,Work,Selling and Distribution,Five and Ten Stores
6451,Work,Selling and Distribution,Flower Vendors
637,Work,Selling and Distribution,"Food Stores, Groceries and Vegetables"
630714,Work,Selling and Distribution,"Fulton Fish Market, New York"
635,Work,Selling and Distribution,General Stores
630704,Work,Selling and Distribution,Grain Brokers
6305,Work,Selling and Distribution,Grain Elevators
639,Work,Selling and Distribution,"Hardware, Farm Machinery, Furniture"
63888,Work,Selling and Distribution,Harnesses
63998,Work,Selling and Distribution,Horse and Mule Dealers
64557,Work,Selling and Distribution,Itinerant Horse and Mule Dealers
64345,Work,Selling and Distribution,Junk Business
63055,Work,Selling and Distribution,Lumber Yards
641,Work,Selling and Distribution,"Luxuries, Flowers, Liquors, Tobacco"
6445,Work,Selling and Distribution,Markets
6375,Work,Selling and Distribution,"Meat, Fishes"
637,Work,Selling and Distribution,"Meat, Fishes"
6434,Work,Selling and Distribution,Miscellaneous Shops and Stores
64516,Work,Selling and Distribution,Mobile Ice Cream Business
6453,Work,Selling and Distribution,Newspaper Vendor
6421,Work,Selling and Distribution,Newsstands
6428,Work,Selling and Distribution,"Novelties, Souvenirs"
63062,Work,Selling and Distribution,Oil and Gas Tanks
630717,Work,Selling and Distribution,Potatoes
6397,Work,Selling and Distribution,Radios
6447,Work,Selling and Distribution,RoadsideStands
63889,Work,Selling and Distribution,"Saddles, Ranch Supplies"
6457,Work,Selling and Distribution,Scavengers
643,Work,Selling and Distribution,"Secondhand Stores, Pawnshops"
6393,Work,Selling and Distribution,Seed and Garden Supplies
630722,Work,Selling and Distribution,Seed Dealers
64074,Work,Selling and Distribution,Ship Chandlery
6313,Work,Selling and Distribution,Shopping
6304,Work,Selling and Distribution,Stock Yards
6319,Work,Selling and Distribution,Stores
645,Work,Selling and Distribution,Street Vendors
6368,Work,Selling and Distribution,Toys
63,Work,Selling and Distribution,"Warehouse, Storage"
6307,Work,Selling and Distribution,Wholesale Dealers
63071,Work,Selling and Distribution,Wholesale Food Markets
6312,Work,Selling and Distribution,Window Displays
6563,Work,Services,"Stations, Fires"
656,Work,Services,"Stations, Fires"
6488,Work,Services,Barbers Shops
64882,Work,Services,Beauty Parlors
64632,Work,Services,"Blacksmiths"
655,Work,Services,Communication
647,Work,Services,"Cooks, Waiters"
651,Work,Services,Electricity
6474,Work,Services,Food Preparation
6572,Work,Services,Garbage Disposal
654,Work,Services,Ice
6586,Work,Services,"Janitors, Caretakers"
6484,Work,Services,Laundries
6463,Work,Services,Mechanical Services
6546,Work,Services,Milk and Other Dairy Products
659,Work,Services,Miscellaneous
658,Work,Services,Miscellaneous Services
6559,Work,Services,Municipal Services
648,Work,Services,Personal Services
6564,Work,Services,Personnel
6561,Work,Services,Plant and Equipment
6551,Work,Services,Postal Service
656,Work,Services,Safety and Sanitation: Fire Department
6574,Work,Services,Sewage
6486,Work,Services,Shoe Repair
6554,Work,Services,Telephone and Telegraph
6562,Work,Services,Training Drills
6504,Work,Services,Utilities
653,Work,Services,Water Supply
6538,Work,Services,Water Witch
